id,purchase_date,supplier,status,tracking_number,total_product_cost,allocated_shipping_cost,total_cost,notes,items,created_at
PO-1755227208673,2025-08-14,SUN,pending,,3552.1299999999997,0,3552.1299999999997,,"[{""id"":""item-1755226682736"",""product_sku"":""1"",""product_name"":""Mickey and Friends"",""quantity"":6,""unit_cost"":15.6375,""is_set"":true,""figures_per_set"":8,""total_set_price"":125.1},{""id"":""item-1755226973228-0.5808897631831573"",""product_sku"":""2"",""product_name"":""Labubu Shrimp"",""quantity"":10,""unit_cost"":45.87,""is_set"":false,""figures_per_set"":6,""total_set_price"":0},{""id"":""item-1755226995518-0.722097275647034"",""product_sku"":""3"",""product_name"":""Snow Globe"",""quantity"":6,""unit_cost"":20.386666666666667,""is_set"":true,""figures_per_set"":6,""total_set_price"":122.32},{""id"":""item-1755227021426-0.6599228009393281"",""product_sku"":""4"",""product_name"":""Hacipupu Gummy Bear"",""quantity"":2,""unit_cost"":22.008333333333336,""is_set"":true,""figures_per_set"":6,""total_set_price"":132.05},{""id"":""item-1755227036584-0.48379535334062707"",""product_sku"":""5"",""product_name"":""Beechburg"",""quantity"":4,""unit_cost"":13.9,""is_set"":true,""figures_per_set"":6,""total_set_price"":83.4},{""id"":""item-1755227054742-0.8639042774623519"",""product_sku"":""6"",""product_name"":""Convenience store pinch pendant"",""quantity"":8,""unit_cost"":10.446666666666667,""is_set"":true,""figures_per_set"":6,""total_set_price"":62.68},{""id"":""item-1755227112503-0.4332917820704755"",""product_sku"":""7"",""product_name"":""Naruto "",""quantity"":3,""unit_cost"":13.928333333333333,""is_set"":true,""figures_per_set"":6,""total_set_price"":83.57},{""id"":""item-1755227159769-0.7082241874886753"",""product_sku"":""8"",""product_name"":""Labubu Fragrance"",""quantity"":2,""unit_cost"":21.588333333333335,""is_set"":true,""figures_per_set"":6,""total_set_price"":129.53}]",2025-08-15T03:06:48.673Z
PO-1755227341432,2025-08-08,SUN,pending,,1378.98,0,1378.98,,"[{""id"":""item-1755227208703"",""product_sku"":""LABUBU"",""product_name"":""Forest Fairy Tale"",""quantity"":18,""unit_cost"":76.61,""is_set"":false,""figures_per_set"":6,""total_set_price"":0}]",2025-08-15T03:09:01.432Z
